"","fips_county","state","current_adult_asthma","rail_crossings","below_poverty","no_high_school_diploma","riverine_flooding_annualized_frequency"
"1","01001","AL",10.5333333333333,5.83333333333333,0.584733333333333,0.563291666666667,1.083333333
"2","01003","AL",9.74193548387097,0.612903225806452,0.454738709677419,0.445893548387097,2.708333333
"3","01005","AL",11.7888888888889,2.66666666666667,0.858211111111111,0.858277777777778,0.25
"4","01007","AL",10.325,6.25,0.462,0.627275,0.666666666
"5","01009","AL",10.3444444444444,1.33333333333333,0.559688888888889,0.7875,1.166666666
"6","01011","AL",12.6,0,0.757366666666667,0.885,0.333333333
"7","01013","AL",11.3888888888889,4.22222222222222,0.761133333333333,0.629044444444444,0.5
"8","01015","AL",11.6928571428571,3.64516129032258,0.695428571428571,0.7048,1
"9","01017","AL",11.3444444444444,4.33333333333333,0.653277777777778,0.761577777777778,0.75
"10","01019","AL",10.6,1.33333333333333,0.586283333333333,0.786966666666667,0.791666666
"11","01021","AL",10.6444444444444,11,0.677022222222222,0.7421,0.458333333
"12","01023","AL",11.55,6.75,0.763375,0.76575,1.375
"13","01025","AL",11.5444444444444,5.44444444444444,0.824688888888889,0.745766666666667,1.208333333
"14","01027","AL",11.225,6.5,0.649675,0.863625,0.708333333
"15","01029","AL",10.6,4.25,0.658775,0.834525,0.375
"16","01031","AL",10.55,1.64285714285714,0.611078571428571,0.6662,0.625
"17","01033","AL",10.7142857142857,7.64285714285714,0.615778571428571,0.685042857142857,2.541666666
"18","01035","AL",11.7,7,0.76262,0.7727,0.458333333
"19","01037","AL",11.1666666666667,5.33333333333333,0.525133333333333,0.795866666666667,0.125
"20","01039","AL",11.0142857142857,3.71428571428571,0.670285714285714,0.727528571428571,0.625
"21","01041","AL",11.0333333333333,0,0.599816666666667,0.794283333333333,0.583333333
"22","01043","AL",10.4444444444444,2.27777777777778,0.6169,0.752722222222222,1.791666666
"23","01045","AL",10.4428571428571,4.35714285714286,0.644878571428571,0.640185714285714,0.541666666
"24","01047","AL",12.4866666666667,10.3333333333333,0.83596,0.746293333333333,0.583333333
"25","01049","AL",11.0071428571429,4.21428571428571,0.701257142857143,0.854607142857143,1.666666666
"26","01051","AL",10.42,1.06666666666667,0.4648,0.56176,1.625
"27","01053","AL",11.3777777777778,12,0.777522222222222,0.7354,1.125
"28","01055","AL",11.28,4.46666666666667,0.653046666666667,0.69774,0.916666666
"29","01057","AL",10.88,5,0.71202,0.73664,0.416666666
"30","01059","AL",10.5111111111111,5.11111111111111,0.672722222222222,0.822711111111111,1.041666666
"31","01061","AL",10.9,0,0.7444,0.78075,0.916666666
"32","01063","AL",13.1666666666667,20.3333333333333,0.942566666666667,0.8281,0.5
"33","01065","AL",11.9666666666667,3.33333333333333,0.7984,0.700183333333333,0.666666666
"34","01067","AL",10.95,9.66666666666667,0.586516666666667,0.8106,0.291666666
"35","01069","AL",11.3227272727273,5.86363636363636,0.675654545454545,0.657954545454545,0.835227272727273
"36","01071","AL",10.9454545454545,11,0.730354545454545,0.731090909090909,1.375
"37","01073","AL",10.5098159509202,3.66871165644172,0.605965644171779,0.492279754601227,3.30265848642945
"38","01075","AL",10.8333333333333,25.6666666666667,0.7156,0.741466666666667,2
"39","01077","AL",10.6409090909091,1.54545454545455,0.601768181818182,0.622990909090909,3.1818181815
"40","01079","AL",11.2555555555556,4.44444444444444,0.636422222222222,0.793255555555556,1.625
"41","01081","AL",10.4703703703704,3.14814814814815,0.718407407407407,0.432625925925926,0.802469135481481
"42","01083","AL",10.3875,3.25,0.55406875,0.680125,2.125
"43","01085","AL",12.975,9.75,0.863025,0.8392,0.666666666
"44","01087","AL",12.6333333333333,2.16666666666667,0.803841666666667,0.755575,0.381944443833333
"45","01089","AL",10.013698630137,1.49315068493151,0.486454794520548,0.433980821917808,3.47602739726027
"46","01091","AL",11.75,22,0.75885,0.676933333333333,0.541666666
"47","01093","AL",10.7125,4.625,0.6439,0.7999875,0.875
"48","01095","AL",10.5944444444444,2.88888888888889,0.714366666666667,0.728783333333333,1.75
"49","01097","AL",11.4763157894737,2.34210526315789,0.696318584070796,0.608000884955752,3.37061403508772
"50","01099","AL",12.1,9.14285714285714,0.904314285714286,0.7151,0.75
"51","01101","AL",11.2061538461538,2.36923076923077,0.631449230769231,0.594670769230769,1.27884615355385
"52","01103","AL",10.4,3.51851851851852,0.529914814814815,0.673718518518518,2.333333333
"53","01105","AL",12.7,4.33333333333333,0.9533,0.809933333333333,0.375
"54","01107","AL",11.56,14.2,0.78188,0.76132,0.583333333
"55","01109","AL",11.4,10.25,0.7736375,0.763225,0.5
"56","01111","AL",10.95,5.5,0.680233333333333,0.816716666666667,0.875
"57","01113","AL",11.8076923076923,4.15384615384615,0.692261538461538,0.719415384615385,0.708333333
"58","01115","AL",10.2461538461538,7,0.5261,0.654292307692308,1
"59","01117","AL",9.47234042553191,4.45833333333333,0.347640425531915,0.385546808510638,1.5
"60","01119","AL",12.2,8.75,0.8728,0.62585,0.75
"61","01121","AL",11.3227272727273,10.5454545454545,0.666086363636364,0.7588,1
"62","01123","AL",11.21,3.4,0.69475,0.75153,0.625
"63","01125","AL",10.8063829787234,3.72340425531915,0.623163829787234,0.511221276595745,1.83510638234043
"64","01127","AL",10.8888888888889,9.22222222222222,0.707144444444444,0.78315,1.125
"65","01129","AL",11.18,6.8,0.69556,0.74076,0.875
"66","01131","AL",13.075,11.75,0.896575,0.8596,0.375
"67","01133","AL",10.8285714285714,5.71428571428571,0.6248,0.7978,0.625
"68","05001","AR",10.675,6.125,0.6344625,0.7017875,1.833333333
"69","05003","AR",10.8,14.5714285714286,0.647928571428571,0.707042857142857,1.791666666
"70","05005","AR",9.65555555555556,2,0.553388888888889,0.558822222222222,1.291666666
"71","05007","AR",9.19183673469388,2.51020408163265,0.394767346938776,0.502234693877551,2.625
"72","05009","AR",10.1571428571429,3.14285714285714,0.589442857142857,0.615257142857143,1.416666666
"73","05011","AR",10.64,12.2,0.79294,0.72156,1.333333333
