"state","FIPSCODE","Category","population_log","current_adult_asthma","below_poverty","no_high_school_diploma","riverine_flooding_annualized_frequency_log"
"AL","01001","No plant",10.9901116018922,10.7941634787492,0.597638423472432,0.610468406275225,0.080042707365844
"AL","01003","No plant",12.3881650093948,10.0243755733565,0.498559150533872,0.53803968998553,0.996333439424615
"AL","01005","No plant",10.1168635562913,11.7706911176637,0.861652276123925,0.86503404693622,-1.38629436111989
"AL","01007","No plant",10.0056830648508,10.1003303964758,0.126393538913363,0.761302900146843,-0.405465109108164
"AL","01009","No plant",10.9902296686338,10.3463341067285,0.492605978344934,0.822033155452436,0.15415067925583
"AL","01011","No plant",9.2259184019395,12.869783596046,0.616458616083356,0.901569943895271,-1.09861228966811
"AL","01013","No plant",9.84198441994208,11.5113840591269,0.76038733982028,0.643900047854522,-0.693147180559945
"AL","01015","Contains solar/wind",11.6625602491869,11.591919846571,0.688143925666292,0.71620657363931,0
"AL","01017","Contains solar/wind",10.4472642764418,10.9607315624204,0.603417173045914,0.701270792667402,-0.287682072451781
"AL","01027","No plant",9.56015181589351,11.1448829997181,0.623859261347618,0.849480293205526,-0.344840486762318
"AL","01029","No plant",9.63259704272418,10.5875966959486,0.650062921200996,0.832531762160745,-0.980829253011726
"AL","01031","No plant",10.901007979643,10.7622822347223,0.629016517393916,0.720186183168587,-0.470003629245736
"AL","01033","Contains solar/wind",10.9621108329879,10.7083494265558,0.62385764789343,0.68621585740748,0.93282003356307
"AL","01035","No plant",9.34233308143468,11.7684953115415,0.777084401016563,0.756990719481202,-0.780158558276848
"AL","01039","Contains FF and solar/wind ",10.5360085487784,10.8618349403671,0.641591409674078,0.696638433341302,-0.470003629245736
"AL","01041","No plant",9.4837206597171,11.0118152769324,0.581959707851491,0.811926818320146,-0.538996501304116
"AL","01043","No plant",11.4015804109651,10.5619438706102,0.617618649334072,0.770487825196083,0.583146284973524
"AL","01045","Contains solar/wind",10.8100511286517,10.4051922610873,0.656829665158737,0.607319159463608,-0.613104474117178
"AL","01047","Contains FF",10.5330557514532,12.6704712340486,0.873848203464747,0.755627796392671,-0.538996501304116
"AL","01049","No plant",11.1836711166075,11.0217445466352,0.702692443478491,0.857948925229929,0.510825623365991
"AL","01055","No plant",11.544501648405,10.914784217752,0.626561485107145,0.649220010744344,-0.0870113777169025
"AL","01057","No plant",9.69109846411978,10.9079762567242,0.707451437581154,0.721925369442899,-0.8754687389539
"AL","01059","No plant",10.3728034453454,10.5186041064876,0.716969462877664,0.842964439066282,0.0408219938802551
"AL","01061","No plant",10.193392153341,11.0006211180124,0.775121436054778,0.807173018783207,-0.0870113777169025
"AL","01063","Contains FF",8.93445510940391,13.1746680828465,0.967907010090281,0.777074429102496,-0.693147180559945
"AL","01067","No plant",9.76709492763057,10.8426819484241,0.539675191977077,0.780875340974212,-1.23214368357835
"AL","01071","No plant",10.8750048334004,11.0420588928151,0.791681879858657,0.74929885041225,0.318453731118535
"AL","01073","Contains FF",13.4146508288001,10.3332859438873,0.579568243512267,0.467784484473008,1.20033760300356
"AL","01075","No plant",9.53307583248535,10.778295481152,0.693782662140014,0.758787333177242,0.693147180559945
"AL","01077","Contains solar/wind",11.4620215684417,10.4395601714172,0.542934815695963,0.612943856277928,1.16627294828791
"AL","01081","Contains FF",12.0876437763682,10.7556157549373,0.70155653092677,0.422100514784156,-0.182337445720056
"AL","01083","Contains solar/wind",11.5859621492142,10.542812258314,0.609124093677494,0.687191620746326,0.75377180237638
"AL","01085","Contains FF",9.21114005214675,12.8473521183054,0.849037460031974,0.83946274980016,-0.405465109108165
"AL","01087","No plant",9.84961197956681,12.654234605034,0.812816004432484,0.747463753891615,-1.03546731129164
"AL","01089","Contains solar/wind",12.8920315522431,10.0894556522208,0.507029915156086,0.460604804589652,1.23803846837278
"AL","01093","No plant",10.2815814638482,10.7812123017351,0.684065001116986,0.826067093603396,-0.133531392624523
"AL","01097","Contains FF",12.9315950468485,11.2003803561584,0.658219075897333,0.589708389665264,1.22692067187665
"AL","01101","Contains solar/wind",12.3335727615166,10.9610122222643,0.600115553738432,0.560687658058193,0.242257033689504
"AL","01103","Contains FF",11.7259540318766,10.473725609309,0.572174912282539,0.66335252050232,0.847297860244347
"AL","01105","No plant",9.01566279297264,13.1144310235219,0.954234520025429,0.797974062301335,-0.980829253011726
"AL","01107","No plant",9.84389677112249,11.3611961756883,0.735679189130904,0.747117806052764,-0.538996501304116
"AL","01109","No plant",10.4028375828271,11.6694550207422,0.770552923793828,0.829311632664659,-0.693147180559945
"AL","01115","No plant",11.4393112170685,10.1949944145965,0.554212091068674,0.607787435501888,0
"AL","01117","Contains FF",12.3325070389263,9.47319074002491,0.348762611490501,0.391152234820828,0.405465108108164
"AL","01119","No plant",9.3943272080892,12.3731640146879,0.868375581395349,0.703207053243574,-0.287682072451781
"AL","01121","Contains FF",11.3043009997552,11.1956938419634,0.618956753952356,0.748879757598467,0
"AL","01123","Contains FF",10.6230332069506,11.2505684152856,0.679615987535954,0.745653869332968,-0.470003629245736
"AL","01129","Contains FF",9.63364539821268,11.2834184675835,0.700027635887361,0.744345762933857,-0.133531392624523
"AL","01133","No plant",10.0705685599138,10.8117732476962,0.645513359396817,0.77910813739179,-0.470003629245736
"AR","05001","Contains solar/wind",9.72752572969475,10.7810767304597,0.665261521492875,0.710535169617838,0.606135803388497
"AR","05003","Contains FF and solar/wind ",9.83745458193169,10.8559395363743,0.678709197735285,0.717955271872663,0.583146284973524
"AR","05007","Contains FF",12.593173491399,9.18290609426403,0.397141254123877,0.508093302684417,0.965080896043587
"AR","05009","No plant",10.5426008446036,10.0927037154317,0.563887515832806,0.60905017152206,0.348306693797628
"AR","05011","No plant",9.24512819746185,10.5785010623913,0.779317857832722,0.698241539501642,0.287682072201781
"AR","05013","Contains solar/wind",8.45892828328426,10.5,0.599527241891032,0.7413,0.432864081863846
"AR","05015","Contains solar/wind",10.2585712310834,9.67183118947825,0.60539758635641,0.559290634484752,0.22314355131421
"AR","05017","Contains solar/wind",9.21004032696718,11.361788536561,0.833282944883465,0.779246834050215,0.980829252761726
"AR","05021","Contains solar/wind",9.57491403870827,10.4167719980554,0.760219987499132,0.773666893534273,0.15415067925583
"AR","05025","No plant",8.92145757894788,10.2236283540248,0.721458670404485,0.55182250700841,0.22314355131421
"AR","05027","No plant",10.022469868768,11.2738426891317,0.819649286846276,0.688035449161732,0.117783035656383
