"FIPSCODE","PSTATABB","CNTYNAME","Category"
"48505","TX","Zapata","Contains solar/wind"
"51001","VA","Accomack","Contains solar/wind"
"51005","VA","Alleghany","Contains FF"
"51007","VA","Amelia","Contains FF"
"51009","VA","Amherst","Contains solar/wind"
"51011","VA","Appomattox","Contains solar/wind"
"51019","VA","Bedford","Contains FF and solar/wind "
"51025","VA","Brunswick","Contains FF"
"51027","VA","Buchanan","Contains FF"
"51029","VA","Buckingham","Contains FF and solar/wind "
"51031","VA","Campbell","Contains solar/wind"
"51033","VA","Caroline","Contains FF"
"51035","VA","Carroll","Other plant"
"51037","VA","Charlotte","Contains solar/wind"
"51041","VA","Chesterfield","Contains FF and solar/wind "
"51043","VA","Clarke","Contains solar/wind"
"51057","VA","Essex","Contains solar/wind"
"51059","VA","Fairfax","Other plant"
"51061","VA","Fauquier","Contains FF and solar/wind "
"51065","VA","Fluvanna","Contains FF and solar/wind "
"51069","VA","Frederick","Contains FF and solar/wind "
"51071","VA","Giles","Contains FF"
"51073","VA","Gloucester","Contains solar/wind"
"51075","VA","Goochland","Contains solar/wind"
"51077","VA","Grayson","Other plant"
"51081","VA","Greensville","Contains FF and solar/wind "
"51083","VA","Halifax","Contains FF and solar/wind "
"51085","VA","Hanover","Contains FF and solar/wind "
"51087","VA","Henrico","Contains FF and solar/wind "
"51089","VA","Henry","Contains solar/wind"
"51091","VA","Highland","Contains FF"
"51093","VA","Isle of Wight","Contains solar/wind"
"51097","VA","King and Queen","Other plant"
"51099","VA","King George","Other plant"
"51101","VA","King William","Contains solar/wind"
"51103","VA","Lancaster","Contains solar/wind"
"51107","VA","Loudoun","Contains FF"
"51109","VA","Louisa","Contains FF and solar/wind "
"51117","VA","Mecklenburg","Contains solar/wind"
"51119","VA","Middlesex","Contains solar/wind"
"51121","VA","Montgomery","Contains FF"
"51127","VA","New Kent","Contains solar/wind"
"51131","VA","Northampton","Contains FF and solar/wind "
"51139","VA","Page","Other plant"
"51141","VA","Patrick","Other plant"
"51143","VA","Pittsylvania","Contains solar/wind"
"51145","VA","Powhatan","Contains solar/wind"
"51149","VA","Prince George","Contains FF and solar/wind "
"51153","VA","Prince William","Contains FF and solar/wind "
"51155","VA","Pulaski","Other plant"
"51159","VA","Richmond","Contains solar/wind"
"51161","VA","Roanoke","Other plant"
"51165","VA","Rockingham","Contains FF"
"51167","VA","Russell","Contains FF"
"51171","VA","Shenandoah","Contains solar/wind"
"51175","VA","Southampton","Contains FF and solar/wind "
"51177","VA","Spotsylvania","Contains solar/wind"
"51179","VA","Stafford","Other plant"
"51181","VA","Surry","Contains FF and solar/wind "
"51183","VA","Sussex","Contains solar/wind"
"51187","VA","Warren","Contains FF and solar/wind "
"51191","VA","Washington","Contains FF"
"51193","VA","Westmoreland","Contains solar/wind"
"51195","VA","Wise","Contains FF"
"51197","VA","Wythe","Contains solar/wind"
"51810","VA","Virginia Beach","Contains solar/wind"
"54001","WV","Barbour","Contains solar/wind"
"54003","WV","Berkeley","Other plant"
"54019","WV","Fayette","Other plant"
"54023","WV","Grant","Contains FF and solar/wind "
"54025","WV","Greenbrier","Contains solar/wind"
"54033","WV","Harrison","Contains FF"
"54037","WV","Jefferson","Other plant"
"54039","WV","Kanawha","Other plant"
"54049","WV","Marion","Contains FF"
"54051","WV","Marshall","Contains FF"
"54053","WV","Mason","Contains FF"
"54057","WV","Mineral","Contains solar/wind"
"54061","WV","Monongalia","Contains FF"
"54067","WV","Nicholas","Other plant"
"54073","WV","Pleasants","Contains FF"
"54079","WV","Putnam","Contains FF"
"54081","WV","Raleigh","Other plant"
"54093","WV","Tucker","Contains solar/wind"
"54099","WV","Wayne","Contains FF"
"54103","WV","Wetzel","Other plant"
"54107","WV","Wood","Other plant"
