"FIPSCODE","PSTATABB","CNTYNAME","Category"
"13071","GA","Colquitt","Contains solar/wind"
"13073","GA","Columbia","Contains solar/wind"
"13077","GA","Coweta","Contains FF"
"13087","GA","Decatur","Contains solar/wind"
"13095","GA","Dougherty","Contains solar/wind"
"13097","GA","Douglas","Contains solar/wind"
"13099","GA","Early","Contains solar/wind"
"13103","GA","Effingham","Contains FF and solar/wind "
"13105","GA","Elbert","Contains solar/wind"
"13107","GA","Emanuel","Contains solar/wind"
"13111","GA","Fannin","Other plant"
"13115","GA","Floyd","Contains FF"
"13117","GA","Forsyth","Other plant"
"13119","GA","Franklin","Contains solar/wind"
"13121","GA","Fulton","Contains FF and solar/wind "
"13127","GA","Glynn","Contains solar/wind"
"13131","GA","Grady","Contains solar/wind"
"13133","GA","Greene","Contains solar/wind"
"13135","GA","Gwinnett","Other plant"
"13137","GA","Habersham","Other plant"
"13141","GA","Hancock","Other plant"
"13145","GA","Harris","Contains solar/wind"
"13147","GA","Hart","Contains FF"
"13149","GA","Heard","Contains FF"
"13153","GA","Houston","Contains FF and solar/wind "
"13157","GA","Jackson","Contains FF"
"13159","GA","Jasper","Other plant"
"13161","GA","Jeff Davis","Contains solar/wind"
"13163","GA","Jefferson","Contains solar/wind"
"13165","GA","Jenkins","Contains solar/wind"
"13171","GA","Lamar","Other plant"
"13173","GA","Lanier","Contains solar/wind"
"13175","GA","Laurens","Contains solar/wind"
"13177","GA","Lee","Contains solar/wind"
"13179","GA","Liberty","Contains solar/wind"
"13185","GA","Lowndes","Contains solar/wind"
"13193","GA","Macon","Other plant"
"13195","GA","Madison","Contains solar/wind"
"13199","GA","Meriwether","Contains solar/wind"
"13205","GA","Mitchell","Contains FF and solar/wind "
"13207","GA","Monroe","Contains FF"
"13213","GA","Murray","Contains FF and solar/wind "
"13215","GA","Muscogee","Contains solar/wind"
"13225","GA","Peach","Contains solar/wind"
"13233","GA","Polk","Contains FF and solar/wind "
"13237","GA","Putnam","Contains solar/wind"
"13241","GA","Rabun","Other plant"
"13243","GA","Randolph","Contains solar/wind"
"13245","GA","Richmond","Contains solar/wind"
"13253","GA","Seminole","Contains solar/wind"
"13255","GA","Spalding","Other plant"
"13257","GA","Stephens","Other plant"
"13259","GA","Stewart","Contains solar/wind"
"13261","GA","Sumter","Contains solar/wind"
"13263","GA","Talbot","Contains FF"
"13267","GA","Tattnall","Contains solar/wind"
"13269","GA","Taylor","Contains solar/wind"
"13271","GA","Telfair","Contains solar/wind"
"13273","GA","Terrell","Contains solar/wind"
"13275","GA","Thomas","Contains solar/wind"
"13277","GA","Tift","Contains solar/wind"
"13285","GA","Troup","Contains solar/wind"
"13289","GA","Twiggs","Contains solar/wind"
"13291","GA","Union","Other plant"
"13293","GA","Upson","Contains FF and solar/wind "
"13297","GA","Walton","Contains FF and solar/wind "
"13299","GA","Ware","Contains solar/wind"
"13301","GA","Warren","Contains solar/wind"
"13303","GA","Washington","Contains FF and solar/wind "
"13305","GA","Wayne","Contains solar/wind"
"13319","GA","Wilkinson","Contains solar/wind"
"13321","GA","Worth","Other plant"
"21009","KY","Barren","Other plant"
"21015","KY","Boone","Contains FF and solar/wind "
"21023","KY","Bracken","Other plant"
"21041","KY","Carroll","Contains FF"
"21049","KY","Clark","Contains FF and solar/wind "
"21065","KY","Estill","Other plant"
"21079","KY","Garrard","Contains solar/wind"
"21081","KY","Grant","Contains solar/wind"
"21089","KY","Greenup","Other plant"
"21091","KY","Hancock","Other plant"
"21093","KY","Hardin","Other plant"
"21111","KY","Jefferson","Contains FF"
"21117","KY","Kenton","Contains solar/wind"
"21125","KY","Laurel","Other plant"
"21127","KY","Lawrence","Contains FF"
"21139","KY","Livingston","Other plant"
"21143","KY","Lyon","Other plant"
"21145","KY","McCracken","Contains FF"
"21157","KY","Marshall","Contains FF"
"21161","KY","Mason","Contains FF"
"21167","KY","Mercer","Contains FF"
"21177","KY","Muhlenberg","Contains FF"
"21183","KY","Ohio","Contains FF"
"21191","KY","Pendleton","Other plant"
"21199","KY","Pulaski","Contains FF"
"21205","KY","Rowan","Other plant"
"21207","KY","Russell","Other plant"
"21209","KY","Scott","Other plant"
"21217","KY","Taylor","Other plant"
"21223","KY","Trimble","Contains FF"
"21233","KY","Webster","Contains FF"
"22001","LA","Acadia","Contains FF"
"22005","LA","Ascension","Contains FF"
"22011","LA","Beauregard","Other plant"
"22017","LA","Caddo","Contains FF"
"22019","LA","Calcasieu","Contains FF"
"22029","LA","Concordia","Other plant"
"22031","LA","DeSoto","Contains FF"
"22033","LA","East Baton Rouge","Contains FF"
"22039","LA","Evangeline","Contains FF"
"22047","LA","Iberville","Contains FF"
"22049","LA","Jackson","Other plant"
"22051","LA","Jefferson","Contains FF"
"22055","LA","Lafayette","Contains FF"
"22061","LA","Lincoln","Contains FF"
"22069","LA","Natchitoches","Other plant"
"22071","LA","Orleans","Contains FF and solar/wind "
"22073","LA","Ouachita","Contains FF"
"22075","LA","Plaquemines","Contains FF"
"22077","LA","Pointe Coupee","Contains FF"
"22079","LA","Rapides","Contains FF"
"22081","LA","Red River","Other plant"
"22087","LA","St Bernard","Other plant"
"22089","LA","St Charles","Contains FF"
"22093","LA","St James","Contains FF and solar/wind "
